transaction_id,customer_age,transaction_amount,transaction_hour,merchant_category,transaction_location,card_not_present,previous_transactions_count,time_since_last_transaction,fraud_probability,is_fraud
1,52.0,277.8978477075441,8.0,Subscription,National,0,8,4.5,0.03216917226451812,0
2,43.0,34.69,22.0,Electronics,International,0,7,5.0,0.3057320913243397,0
3,55.0,9.06,15.0,Restaurant,National,0,4,13.2,0.031690616562045346,0
4,68.0,39.25,19.0,Subscription,International,0,5,49.8,0.29775956995429853,0
5,41.0,113.62,0.0,Restaurant,National,1,6,51.2,0.2521744520497775,0
6,41.0,135.36695164664252,4.0,Gambling,National,0,5,21.4,0.13816097940373928,0
7,69.0,155.79,3.0,Restaurant,International,0,2,25.8,0.3151222877170778,0
8,57.0,88.92,2.0,Gambling,National,0,5,54.7,0.12795543202413942,0
9,38.0,26.2,0.0,Electronics,International,0,3,23.5,0.2856324582984197,0
10,53.0,47.39,10.0,Restaurant,National,0,7,6.3,0.0728428160691345,0
11,38.0,269.97,1.0,Travel,International,0,1,29.3,0.3041691708200035,0
12,38.0,113.7,4.0,Retail,International,0,1,35.3,0.3261438070885963,0
13,49.0,55.08,22.0,Electronics,National,0,3,24.2,0.08373935111403974,0
14,16.0,43.05,12.0,Retail,National,1,2,7.7,0.2668527016005334,0
15,19.0,58.95,6.0,Travel,International,0,5,12.3,0.29725803123434646,0
16,37.0,32.73,19.0,Online,Local,0,0,15.3,0.12254089456361476,0
17,30.0,6.65,19.0,Online,National,0,4,3.8,0.022105964486163303,0
18,50.0,420.81,12.0,Subscription,National,1,4,14.4,0.5724116897478658,1
19,31.0,63.77,1.0,Online,Local,0,3,4.2,0.03875702208661435,0
20,24.0,81.3,14.0,Electronics,Local,1,2,16.6,0.29145514690690877,0
21,67.0,51.53,13.0,Online,International,0,5,1.3,0.3025509718595434,0
22,42.0,26.18,5.0,Electronics,National,0,5,71.2,0.07975079945422467,0
23,46.0,45.33,13.0,Electronics,International,1,3,6.8,0.557039848330894,1
24,24.0,11.03,11.0,Retail,National,1,2,15.1,0.2781528586191814,0
25,37.0,532.24,4.0,Online,Local,0,6,0.8,0.37489005100624495,0
26,47.0,15.89,13.0,Restaurant,International,0,2,5.1,0.31071395800352974,0
27,28.0,19.45,15.0,Gambling,National,0,7,28.4,0.03698326463081458,0
28,51.0,35.15,2.0,Online,National,1,5,2.8,0.2590334633287661,0
29,36.0,197.96,20.0,Online,Local,0,10,23.7,0.11333407408182095,0
30,41.0,55.4,20.0,Online,Local,0,2,0.0,0.12406323254584539,0
31,36.0,15.86,12.0,Subscription,National,0,6,15.0,0.05584590966177463,0
32,73.0,1056.9601066008154,13.0,Restaurant,Local,0,6,30.7,0.3521036791862778,0
33,45.0,113.41,10.0,Restaurant,Local,0,6,62.6,0.07218093196120605,0
34,29.0,93.54,17.0,Electronics,International,0,4,16.3,0.3056038001536026,0
35,57.0,111.69,20.0,Restaurant,National,0,6,44.1,0.05139647198291498,0
36,27.0,598.46,8.0,Electronics,International,0,6,38.9,0.6579769795376859,1
37,48.0,485.46,4.0,Gambling,Local,0,2,8.4,0.33180042383940384,0
38,16.0,27.48,7.0,Retail,National,0,3,49.9,0.07022159197264528,0
39,25.0,276.96,0.0,Electronics,Local,0,3,24.5,0.02246106304498991,0
40,48.0,80.09,2.0,Online,Local,0,6,2.6,0.01840943875266552,0
41,56.0,89.94,7.0,Travel,National,0,2,67.2,0.010979210153694095,0
42,48.0,10.05,13.0,Travel,Local,0,5,4.7,0.08348405058122518,0
43,43.0,277.912375801859,11.0,Subscription,International,1,3,15.3,0.4922468165677692,1
44,40.0,24.22,18.0,Online,National,0,8,15.1,0.09396167587691805,0
45,23.0,124.97,6.0,Electronics,Local,0,3,23.6,0.09459446542530195,0
46,34.0,159.35,17.0,Online,Local,0,7,26.2,0.02371279824985713,0
47,38.0,6.86,17.0,Subscription,Local,0,2,6.4,0.05968561761865641,0
48,61.0,53.41,14.0,Restaurant,National,0,4,10.4,0.08793814695186965,0
49,50.0,167.65,9.0,Electronics,International,0,3,3.7,0.26384412888577896,0
50,19.0,45.3,8.0,Gambling,Local,0,6,3.2,0.04413788356224651,0
51,50.0,113.19,6.0,Online,Local,0,5,41.8,0.11775461847242477,0
52,39.0,77.57,0.0,Restaurant,Local,0,2,33.3,0.052139256340957514,0
53,35.0,76.83,8.0,Subscription,National,1,12,14.0,0.24199105438986593,0
54,54.0,41.62,16.0,Restaurant,Local,1,1,2.4,0.23537977156463055,0
55,60.0,141.44083409514354,1.0,Electronics,Local,1,4,14.3,0.26319165664283617,0
56,59.0,17.79,9.0,Subscription,Local,0,6,8.4,0.0432060941712262,0
57,32.0,110.98,16.0,Subscription,National,1,4,36.1,0.27716970450225803,0
58,40.0,322.12621371866084,1.0,Subscription,International,1,7,2.4,0.5124771798838867,1
59,50.0,47.54,6.0,Retail,National,1,5,14.4,0.23171538725433583,0
60,60.0,35.73,12.0,Subscription,International,0,4,21.5,0.33447794471078884,0
61,38.0,40.24,4.0,Retail,International,1,7,102.0,0.47254068270409705,0
62,42.0,155.54,13.0,Restaurant,National,0,7,2.3,0.0457089592160513,0
63,28.0,39.05,12.0,Gambling,Local,0,2,2.9,0.06035546505611543,0
64,27.0,14.28,5.0,Retail,International,0,5,106.2,0.2747379263111408,0
65,57.0,114.85,8.0,Restaurant,Local,1,3,12.5,0.24919920626312975,0
66,65.0,44.48,13.0,Retail,International,1,4,32.7,0.47518249168260684,0
67,44.0,56.34,8.0,Restaurant,Local,0,5,36.7,0.032678887016342036,0
68,60.0,272.48,20.0,Restaurant,Local,0,7,9.1,0.022699426021538172,0
69,50.0,53.49,15.0,Gambling,National,0,6,5.8,0.09168727959512796,0
70,35.0,72.91,17.0,Subscription,Local,0,3,7.8,0.10211894988678623,0
71,50.0,16.79,15.0,Gambling,International,0,6,34.7,0.2773714102464244,0
72,68.0,43.83,10.0,Gambling,Local,0,3,44.1,0.08448577978251447,0
73,44.0,100.44,13.0,Subscription,Local,1,4,28.9,0.3137261861491787,0
74,68.0,11.53,10.0,Restaurant,Local,0,5,14.0,0.04451067313564686,0
75,6.0,66.74,7.0,Subscription,International,0,4,7.3,0.2766486463858294,0
76,57.0,60.39,3.0,Restaurant,International,1,5,13.3,0.5317626255710214,1
77,46.0,56.9,2.0,Subscription,International,1,4,59.0,0.5288809379705063,1
78,41.0,154.03,10.0,Travel,Local,1,9,47.7,0.21938818810086513,0
79,46.0,76.28,14.0,Retail,National,0,6,9.4,0.015301547639814048,0
80,15.0,239.38,7.0,Gambling,International,1,1,9.5,0.5413082525514188,1
81,42.0,20.21,1.0,Restaurant,Local,0,5,36.3,0.0304424937971622,0
82,50.0,62.55,19.0,Online,International,1,7,13.3,0.47705182521342526,0
83,67.0,59.41,1.0,Subscription,National,1,2,20.4,0.2740639492087387,0
84,37.0,18.74,16.0,Subscription,Local,1,4,13.2,0.30536397818284494,0
85,33.0,142.07,15.0,Electronics,International,0,4,6.7,0.30844716128770616,0
86,37.0,558.18,8.0,Online,International,0,2,5.0,0.6789813450258801,1
87,59.0,53.68,0.0,Online,National,1,4,3.6,0.2613300254321173,0
88,50.0,90.47,22.0,Gambling,International,1,6,0.3,0.552524633960729,1
89,37.0,59.41,9.0,Travel,Local,0,3,7.9,0.020327320855630444,0
90,53.0,26.75,22.0,Retail,Local,1,4,4.5,0.2734756565083738,0
91,46.0,8.84,1.0,Travel,National,0,2,7.2,0.014346857624653299,0
92,60.0,26.96,21.0,Retail,National,0,6,1.9,0.04517840125017121,0
93,34.0,13.57,21.0,Restaurant,National,0,3,10.0,0.03894549319258257,0
94,40.0,300.1,0.0,Gambling,Local,0,4,17.6,0.08701288705237539,0
95,39.0,48.66,7.0,Travel,National,0,4,69.4,0.02803794704330355,0
96,23.0,38.63,17.0,Electronics,International,1,4,10.2,0.5456299616732274,1
97,49.0,132.84,0.0,Retail,International,0,4,0.8,0.26708898384342594,0
98,49.0,17.78,17.0,Travel,Local,0,6,10.8,0.025913465339904844,0
99,45.0,25.36,0.0,Gambling,International,1,4,40.8,0.5755240338626327,1
100,41.0,58.44,13.0,Electronics,National,1,7,10.0,0.2800732440228981,0
101,24.0,152.74,22.0,Gambling,International,0,4,8.3,0.3498226617748391,0
102,39.0,295.7371615686393,19.0,Online,National,0,3,60.3,0.055832425918090484,0
103,40.0,69.99,1.0,Subscription,International,0,2,8.5,0.3585478895627416,0
104,33.0,59.03,3.0,Restaurant,Local,1,4,84.4,0.27061784121639343,0
105,43.0,445.8925155364416,9.0,Gambling,National,0,3,42.9,0.43943721672923386,0
106,51.0,66.8,22.0,Restaurant,International,0,1,27.7,0.26658186337123907,0
107,73.0,19.49,5.0,Gambling,Local,1,4,21.9,0.3081293739920077,0
108,48.0,57.17,4.0,Online,International,0,5,6.1,0.3303536581231696,0
109,49.0,18.66,12.0,Gambling,Local,0,5,31.5,0.07105543035924633,0
110,44.0,59.21,0.0,Gambling,International,1,4,10.2,0.48935584103612806,1
111,16.0,33.76,15.0,Travel,National,0,3,16.0,0.04130792524796454,0
112,45.0,691.86,15.0,Subscription,National,0,3,2.6,0.3936552850666884,0
113,46.0,52.46,12.0,Online,National,1,6,8.4,0.25732277237908124,0
114,82.0,13.41,8.0,Electronics,National,1,1,18.1,0.25410565202466573,0
115,42.0,47.74,6.0,Subscription,National,0,5,15.1,0.07550080119165836,0
116,50.0,91.78,6.0,Retail,International,0,4,10.1,0.313384912476237,0
117,44.0,291.01,12.0,Travel,International,1,6,15.3,0.5193343354825927,1
118,27.0,30.28,5.0,Subscription,International,0,6,32.8,0.28191890797642305,0
119,62.0,11.22,4.0,Retail,International,0,8,14.8,0.2827948512470924,0
120,56.0,123.57,2.0,Online,National,0,4,16.9,0.03816323280148375,0
121,57.0,13.73,0.0,Gambling,Local,0,1,29.0,0.011472899167985978,0
122,31.0,35.3,13.0,Restaurant,National,1,7,44.2,0.27600564407985223,0
123,66.0,42.2,13.0,Subscription,International,0,9,18.0,0.29043022371282706,0
124,24.0,50.93,0.0,Subscription,National,1,2,71.0,0.2763043797683266,0
125,54.0,108.76,18.0,Retail,National,1,5,10.5,0.21497262554777138,0
126,78.0,27.56,1.0,Retail,National,1,6,7.0,0.22328295903585232,0
127,30.0,41.52,21.0,Restaurant,Local,1,2,28.3,0.2676223054732928,0
128,37.0,53.82,3.0,Retail,National,1,10,4.6,0.2560284877614448,0
129,46.0,63.41,3.0,Retail,National,0,5,55.3,0.06558044069184188,0
130,37.0,60.21,2.0,Subscription,Local,0,2,11.7,0.02532781407233637,0
131,22.0,84.44,15.0,Restaurant,National,1,5,28.7,0.2539811312605056,0
132,46.0,126.96,19.0,Restaurant,National,0,7,20.3,0.026758303545815758,0
133,29.0,80.85,18.0,Gambling,National,0,5,1.3,0.02265639726110233,0
134,52.0,85.93,12.0,Subscription,National,0,5,29.6,0.03023605907516192,0
135,31.0,11.22,6.0,Gambling,National,0,3,37.5,0.03655460374446431,0
136,68.0,57.41,0.0,Online,International,1,7,97.1,0.5354972613033071,1
137,33.0,510.4095136589323,6.0,Online,National,1,2,12.9,0.5974036318272081,1
138,40.0,113.18,0.0,Subscription,Local,0,11,16.8,0.11025754965695592,0
139,57.0,27.32,2.0,Retail,National,1,6,49.9,0.22775736973824184,0
140,27.0,28.25,17.0,Travel,International,0,5,7.5,0.2648864804865631,0
141,48.0,30.75,3.0,Online,Local,1,6,5.0,0.32343859262431274,0
142,65.0,93.36,3.0,Online,Local,0,4,3.4,0.05909423290948744,0
143,21.0,153.53,19.0,Subscription,National,1,4,91.9,0.3151943209536131,0
144,48.0,36.33,18.0,Gambling,International,0,5,7.6,0.2903017893351509,0
145,49.0,135.36,22.0,Subscription,National,0,5,34.0,0.010575817541990159,0
146,57.0,61.77,17.0,Travel,International,1,1,14.3,0.5374248184157309,1
147,26.0,48.22,10.0,Travel,International,0,7,6.6,0.28939207538209005,0
148,25.0,44.2,18.0,Restaurant,National,1,9,58.7,0.2174142848933439,0
149,53.0,115.19,0.0,Subscription,International,0,6,15.0,0.35487301206383925,0
150,49.0,75.61,5.0,Online,National,0,6,20.0,0.09469275226363445,0
151,49.0,531.56,15.0,Gambling,International,0,3,6.0,0.6638861713890645,1
152,50.0,23.28,0.0,Gambling,Local,0,6,9.4,0.06404781172968427,0
153,35.0,91.66,9.0,Electronics,National,0,8,33.1,0.09956715540147003,0
154,48.0,32.16,5.0,Electronics,International,1,8,10.1,0.5485869397158522,1
155,49.0,22.89,15.0,Retail,Local,0,8,16.9,0.05039407895775009,0
156,34.0,54.01,1.0,Online,Local,1,6,2.9,0.31003242198503217,0
157,73.0,62.64,20.0,Electronics,Local,0,4,45.5,0.012473183332809525,0
158,52.0,1010.47,4.0,Gambling,Local,0,3,32.1,0.3554355275173842,0
159,27.0,45.42,20.0,Online,National,0,5,34.3,0.10976605790416505,0
160,55.0,17.63,9.0,Subscription,International,0,5,4.7,0.3631814931581626,0
161,30.0,71.74,16.0,Online,Local,1,3,16.4,0.21411241662957442,0
162,57.0,6.86,16.0,Electronics,International,0,4,0.7,0.3471018579223362,0
163,62.0,49.8,20.0,Gambling,International,0,6,9.1,0.2673314575315699,0
164,33.0,55.48,8.0,Online,International,0,4,10.3,0.30268427840386236,0
165,59.0,120.86,3.0,Travel,National,0,6,58.8,0.06459465979647326,0
166,51.0,144.55,21.0,Retail,National,0,3,118.4,0.010061079046881322,0
167,57.0,33.0,21.0,Restaurant,Local,0,3,23.1,0.028537528693112352,0
168,73.0,46.96,19.0,Gambling,International,0,4,17.5,0.3354124764851833,0
169,41.0,25.38,22.0,Electronics,National,1,5,13.9,0.26265853566506836,0
170,34.0,17.67,20.0,Subscription,National,1,3,0.4,0.2678313418720982,0
171,32.0,74.43,13.0,Restaurant,National,0,9,38.6,0.0709196191446566,0
172,33.0,15.28,19.0,Retail,Local,0,3,26.7,0.02948712294248254,0
173,44.0,36.07,18.0,Gambling,National,1,4,25.1,0.29580724338768183,0
174,50.0,20.18,21.0,Gambling,International,1,5,39.7,0.5829000382407492,1
175,49.0,94.6,2.0,Travel,National,1,1,63.2,0.2110804600989679,0
176,57.0,330.77,19.0,Travel,National,1,2,11.8,0.24292271235615304,0
177,45.0,14.86,19.0,Travel,Local,0,5,13.3,0.01018458207148315,0
178,67.0,8.56,0.0,Travel,International,1,6,88.7,0.47489124462194954,0
179,41.0,48.19,13.0,Electronics,National,1,3,26.2,0.2938960832664477,0
180,86.0,55.46,15.0,Gambling,International,0,5,45.7,0.33039788795987624,0
181,54.0,67.94,17.0,Electronics,International,0,5,6.0,0.27813235960461735,0
182,32.0,34.94,12.0,Online,National,0,6,9.2,0.011610203099953132,0
183,29.0,44.67,17.0,Subscription,Local,0,1,11.9,0.059379055969051936,0
184,52.0,78.85,16.0,Online,International,0,6,9.1,0.32708959048707587,0
185,42.0,154.54,0.0,Subscription,National,0,5,51.8,0.11106794459537082,0
186,56.0,7.73,4.0,Retail,International,0,7,17.2,0.272714367528907,0
187,52.0,154.11261593972384,11.0,Online,International,0,2,73.7,0.3638108511320499,0
188,44.0,67.61,15.0,Retail,International,0,2,9.3,0.26535823572545625,0
189,32.0,21.8,4.0,Retail,National,1,3,0.9,0.24387267088872686,0
190,22.0,308.33,19.0,Retail,International,0,2,3.6,0.30417108603825416,0
191,38.0,28.92,20.0,Travel,International,1,4,5.9,0.5003065387424187,1
192,58.0,52.39,3.0,Restaurant,Local,1,3,24.5,0.28467956952239853,0
193,48.0,95.2,5.0,Restaurant,National,1,5,4.8,0.2690310553473294,0
194,26.0,30.23,0.0,Electronics,National,1,5,11.5,0.2251095519379252,0
195,48.0,8.61,11.0,Retail,International,0,5,38.1,0.26324634475597275,0
196,51.0,35.56,17.0,Travel,Local,0,7,3.2,0.058157867975477485,0
197,32.0,152.85,20.0,Online,International,0,4,2.0,0.35779016402460057,0
198,47.0,38.98,0.0,Online,International,1,4,18.6,0.5573499487247602,1
199,46.0,23.42,11.0,Electronics,National,0,3,28.7,0.08222031457029519,0
200,28.0,137.78,9.0,Electronics,Local,0,6,58.0,0.03753576951900943,0
201,50.0,39.22,5.0,Retail,International,1,4,26.0,0.4696523825436759,0
202,53.0,32.78,18.0,Retail,National,1,5,70.1,0.2752603825133005,0
203,61.0,63.4,1.0,Online,International,1,5,6.7,0.5022203197404984,1
204,61.0,118.01,0.0,Online,International,0,7,10.0,0.2655595585784852,0
205,24.0,590.94,6.0,Online,Local,0,3,43.9,0.33069012659844826,0
