user_id,age,primary_genre,mood_category,favorite_playlist_type,daily_listening_hours,unique_tracks_per_week,skipped_track_percentage,premium_likelihood,music_discovery_score
25795,45,Hip Hop,Party,Study,2.4,56.52614105775637,37.9,0,19.349792974834823
10860,35,Pop,Melancholic,Workout,1.0,121.54292544769305,45.6,0,-5.581621062040292
86820,34,Jazz,Romantic,Study,1.4,77.51206807718202,21.2,0,1.61
64886,53,Country,Relaxed,Workout,0.6,73.32337662711046,53.6,0,2.77
16265,36,Electronic,Melancholic,Workout,1.8,99.13303738399338,26.1,0,0.7564462214342736
92386,18,Rock,Relaxed,Study,1.6,122.98900246885839,23.6,0,6.682376012963868
47194,27,Rock,Party,Party,-1.1,116.22267178961442,8.3,0,-3.4351342500452016
97498,59,Hip Hop,Relaxed,Sleep,3.6,-0.765415257471382,39.0,0,-0.11723255232847812
54131,56,Rock,Melancholic,Party,5.8,85.8461706694331,62.2,0,4.9915533197477115
70263,64,Jazz,Melancholic,Workout,3.4,136.37445196932555,40.5,1,6.1
26023,63,Jazz,Energetic,Study,2.2,108.03103300683433,24.0,0,1.8
51090,34,Jazz,Melancholic,Study,2.4,156.76135115323189,42.7,0,4.42
77221,27,Rock,Relaxed,Study,5.492338249183778,67.44742005728958,47.0,0,10.163384743989523
74820,31,Rock,Energetic,Study,2.6,27.752473431346868,52.4,0,11.283338359639243
10769,50,Jazz,Melancholic,Sleep,2.4,195.16599508497805,16.5,0,5.38
69735,47,Rock,Melancholic,Commute,1.2,214.53032758294975,58.3,0,-2.0741580914549815
72955,15,R&B,Party,Workout,5.0,15.928412022746002,38.2,0,0.36
74925,29,Rock,Energetic,Sleep,0.3,28.8681789776494,61.3,0,0.1631743569751745
77969,27,R&B,Party,Party,3.6,60.253513094423916,37.3,0,0.64
15311,31,Electronic,Party,Commute,2.3,87.76679721367526,43.7,0,1.6416151561833723
93104,38,Pop,Party,Commute,5.4,175.037125702467,20.8,1,14.33504334705118
63707,22,Classical,Romantic,Study,3.0,53.91555819821667,49.8,0,4.25
95305,64,R&B,Party,Sleep,2.0,124.11506498144827,18.8,0,6.28
38693,41,R&B,Relaxed,Party,2.1,161.31161828926338,39.0,0,1.96
81932,59,Rock,Melancholic,Study,2.6,118.99300002141037,28.5,0,1.0806779486787137
35658,37,Classical,Romantic,Study,0.8,17.237041291132403,33.7,0,3.7
94478,60,Country,Party,Workout,1.3,26.18846337249664,51.3,0,3.37
28431,22,Classical,Melancholic,Commute,-0.2,167.4384910742801,29.7,0,6.87
12747,22,Electronic,Energetic,Party,1.1,50.8750234756707,51.6,0,-1.883499320193499
69150,40,R&B,Energetic,Commute,2.6,134.2667588745614,28.9,0,6.75
75725,61,Rock,Melancholic,Sleep,3.0,40.8863799720107,37.0,0,0.8793103905835784
94654,27,Jazz,Relaxed,Workout,-1.1820884882288072,122.53039925233197,67.2,0,2.66
45773,53,Classical,Melancholic,Study,2.3,210.2191896498319,36.8,0,5.56
77435,51,Rock,Melancholic,Workout,3.3,54.4667369788476,33.9,0,6.377202308584927
66886,63,Hip Hop,Romantic,Study,2.3,17.77394612739875,37.1,0,3.0139647291640963
76803,42,Country,Energetic,Workout,1.5,57.760103830965164,30.0,0,4.29
41551,39,Jazz,Energetic,Study,1.9,52.94664900365247,20.0,0,0.94
21394,30,Hip Hop,Party,Commute,1.7,114.16539286275902,65.9,0,14.080050152857543
79092,16,Hip Hop,Melancholic,Commute,1.5,26.63762553057804,28.9,0,0.26416548264785933
13890,32,Classical,Melancholic,Commute,2.8,80.68790742363232,12.2,0,2.7
51606,31,Hip Hop,Relaxed,Commute,6.0,87.2132997418098,32.7,0,2.1463182520365716
90038,44,Electronic,Energetic,Workout,1.4,176.90109273037956,40.4,0,1.1083630877152726
97313,53,Electronic,Relaxed,Study,2.0,23.205991233845786,31.9,0,6.26875014911963
20627,27,Classical,Romantic,Commute,2.4,-11.503482873678038,34.3,0,0.15
18792,46,Rock,Party,Workout,1.5,170.92477853018124,32.5,0,9.740107880144741
83969,64,Pop,Relaxed,Study,4.1,141.99205694329387,41.4,1,-2.013862392187502
53001,43,Rock,Energetic,Workout,-1.1,7.857948620506207,47.3,0,-0.5526508000127263
86552,60,Rock,Romantic,Commute,1.7,93.41791514704958,32.1,0,3.3787488545498148
33897,44,Rock,Melancholic,Sleep,3.7,59.844653692397124,73.8,0,3.456837013559442
78148,32,Rock,Romantic,Workout,2.1,93.7059344546354,50.6,0,0.9370323825437952
33483,27,Jazz,Relaxed,Commute,1.3,130.60717703530372,34.9,0,2.78
58555,57,Pop,Energetic,Party,3.2,58.57357150924052,15.2,0,-1.7549376549435725
27159,35,Jazz,Relaxed,Study,3.9,162.70421591167275,36.7,1,4.79
90077,44,Hip Hop,Melancholic,Commute,2.8,211.06625981554527,47.2,0,-11.975112688749848
45920,35,Country,Melancholic,Party,1.3,125.52892992010251,47.3,0,1.36
77121,62,Rock,Energetic,Workout,3.2,49.761893205794706,7.2,0,0.038446075020089204
79479,31,Country,Party,Workout,1.9,86.44321330673333,36.7,0,3.32
99475,54,Electronic,Romantic,Party,3.6,86.72760639604775,27.8,0,-0.47541446180814756
29457,33,Classical,Romantic,Party,4.7,100.47406966197897,57.5,0,3.47
76557,29,Classical,Melancholic,Study,-1.4,150.63601082224986,36.9,0,4.07
87189,23,Jazz,Relaxed,Workout,2.7,99.47599518011913,0.7,0,5.46
88953,24,Jazz,Relaxed,Party,-0.2046605188951844,137.0275169992318,40.5,0,3.11
62995,58,Electronic,Party,Sleep,26.011523393768137,46.041341094212456,5.8,1,16.262220693770093
50757,45,Rock,Relaxed,Sleep,1.8,85.17970836964585,41.8,0,0.05304808356665202
19692,37,Country,Romantic,Party,3.6,216.81053494974574,73.8,1,3.67
55758,44,R&B,Relaxed,Study,2.4,162.51919031007398,55.4,0,5.34
82409,47,Country,Party,Workout,1.3,86.71555942408548,38.9,0,0.63
81211,23,Pop,Romantic,Sleep,1.1,95.47027310938665,25.1,0,0.9182941586230527
75697,61,Hip Hop,Relaxed,Party,4.9,245.42288471392118,54.1,1,-0.13084294499679014
47065,15,Classical,Romantic,Party,3.9,80.38998388221682,44.5,0,2.92
42606,58,Hip Hop,Melancholic,Commute,5.4,33.349049987469975,31.0,0,13.557058792044526
21534,49,Pop,Melancholic,Party,2.6,93.02944438003803,26.9,0,0.9067490827397627
