user_id,age,genre,content_type,device,watch_time_minutes,time_of_day,churn_risk,engagement_score
8270,27,Thriller,Movie,Smart TV,21.108980200808574,Morning,0,8.49
1860,50,Romance,Series,Laptop,14.289036073390118,Night,0,3.6
6390,27,Drama,Series,Tablet,21.137287661322983,Night,0,2.82
6191,26,Comedy,Movie,Tablet,39.02650262493721,Morning,0,2.28
6734,51,Sci-Fi,Series,Smart TV,11.18498476242932,Evening,0,0.0423777982364113
7265,24,Romance,Movie,Laptop,15.481617117041816,Morning,0,3.37
1466,23,Romance,Series,Laptop,62.27172044323584,Morning,0,6.82
5426,21,Drama,Movie,Mobile,17.519381545605512,Evening,0,7.72
6578,16,Sci-Fi,Movie,Smart TV,17.438815529545973,Night,0,5.787797464732261
9322,37,Comedy,Series,Tablet,66.80854973729201,Morning,0,10.18
2685,53,Romance,Movie,Tablet,48.11686316570565,Night,0,3.606206931515993
1769,54,Comedy,Series,Smart TV,-96.96158883790565,Afternoon,0,-3.568344211353006
7949,53,Thriller,Movie,Tablet,77.11212529917246,Evening,0,9.044406736538573
3433,35,Sci-Fi,Series,Smart TV,29.807443540824785,Afternoon,0,9.24
6311,37,Action,Series,Tablet,76.47023006370931,Night,0,9.52
6051,43,Thriller,Movie,Tablet,29.735556251840777,Afternoon,0,8.21
7420,28,Sci-Fi,Series,Smart TV,91.71967802531373,Afternoon,0,13.52
2184,40,Drama,Series,Smart TV,46.35904920665289,Afternoon,0,3.76
5555,19,Drama,Series,Tablet,-16.305514077298863,Morning,1,-1.1024245109849162
4385,45,Comedy,Movie,Tablet,1.2950556137360856,Morning,0,5.1
7396,39,Romance,Movie,Mobile,60.40244827674649,Evening,0,8.27
9666,45,Action,Series,Laptop,52.52913185166036,Night,0,6.42
3558,64,Drama,Series,Smart TV,26.224699738085533,Night,0,4.497340677003624
8849,34,Sci-Fi,Movie,Smart TV,23.425913644181648,Evening,0,3.86
3047,58,Romance,Movie,Laptop,46.76262677414173,Night,0,6.973871018746351
3747,31,Romance,Series,Mobile,46.54159595694997,Night,0,5.1
1189,59,Sci-Fi,Movie,Tablet,35.12447081658065,Afternoon,0,4.305707642584628
3734,16,Romance,Movie,Tablet,65.22886643381348,Afternoon,0,10.137087457168164
4005,39,Drama,Series,Mobile,58.882239563899375,Night,0,8.59
5658,27,Sci-Fi,Movie,Mobile,38.672978837259336,Evening,0,7.06
2899,53,Sci-Fi,Movie,Laptop,9.760640990369465,Evening,0,4.9431739026603045
8734,42,Comedy,Movie,Laptop,81.43930681953636,Night,0,12.57
2267,56,Action,Series,Tablet,106.60395707125966,Evening,0,11.602933474208342
2528,20,Comedy,Movie,Mobile,455.40371104304,Evening,0,11.04
4556,17,Action,Series,Mobile,331.46208156619116,Afternoon,0,10.671197245130703
4890,49,Sci-Fi,Movie,Tablet,-10.102582875241659,Evening,0,2.88
9838,32,Romance,Movie,Tablet,-21.08380602740825,Morning,0,3.41
6393,25,Action,Series,Tablet,32.09386077320503,Afternoon,0,7.83
9792,34,Sci-Fi,Series,Tablet,38.624701470012965,Morning,0,7.46
9433,19,Sci-Fi,Series,Tablet,49.93681949036367,Night,0,8.517719027357794
8513,33,Comedy,Series,Laptop,50.875386304576004,Evening,0,5.27
3612,36,Comedy,Movie,Tablet,9.748132043648223,Morning,0,0.75
8041,33,Romance,Series,Mobile,83.05682953269212,Evening,0,10.2
7235,61,Thriller,Series,Smart TV,91.63386263229822,Morning,0,7.809813622766933
6486,30,Drama,Series,Laptop,-1.2926320738391635,Afternoon,1,2.71
8099,38,Thriller,Movie,Mobile,-23.003736530762204,Night,1,0.66
1775,55,Thriller,Movie,Smart TV,33.688921219289846,Morning,0,5.734033176171452
9226,18,Romance,Series,Laptop,77.45522908224142,Afternoon,0,12.495584220536843
4152,29,Action,Series,Tablet,56.446945270238515,Night,0,7.52
2585,39,Romance,Series,Laptop,196.7374480638417,Morning,0,7.68
4943,58,Romance,Series,Tablet,19.08459749721777,Morning,0,2.9532896972147737
8555,49,Sci-Fi,Movie,Tablet,50.71477422496669,Afternoon,0,9.65
4073,28,Sci-Fi,Series,Tablet,73.59180660677674,Night,0,7.92
2021,63,Sci-Fi,Movie,Smart TV,52.47946987989802,Night,0,8.550510078287477
4843,33,Drama,Series,Laptop,60.68776534153873,Afternoon,0,7.89
8989,52,Action,Series,Tablet,4.862270859965708,Evening,0,0.0757092911324837
7873,50,Action,Movie,Mobile,115.80705765399176,Afternoon,0,11.39
6675,21,Sci-Fi,Series,Laptop,1.342302068737311,Night,0,0.13
1161,44,Thriller,Series,Mobile,37.8632121547977,Afternoon,0,7.11
5297,33,Drama,Series,Smart TV,69.36548061715322,Evening,0,7.86
1995,63,Thriller,Series,Smart TV,174.41494480434739,Afternoon,0,4.129485649231249
8629,39,Comedy,Movie,Laptop,76.2702856319087,Afternoon,0,9.97
2016,30,Action,Series,Smart TV,12.156882256027906,Morning,0,3.91
8869,61,Action,Series,Smart TV,41.47730112734108,Evening,0,3.1488199296316015
7439,54,Thriller,Movie,Laptop,5.588714897006718,Night,1,3.5407342844514647
8892,22,Drama,Series,Mobile,76.75729195364035,Evening,0,12.36
7863,32,Action,Movie,Tablet,36.19220723940717,Night,0,7.99
8916,42,Thriller,Series,Laptop,51.6851691405949,Night,0,7.61
9529,30,Romance,Series,Laptop,73.78546498827136,Morning,0,8.04
1878,33,Romance,Series,Tablet,114.7623467527049,Evening,0,15.34
5887,56,Drama,Movie,Mobile,106.34904419795035,Morning,0,9.466390318482038
5859,31,Thriller,Movie,Tablet,61.20818996742949,Afternoon,0,9.64
7331,59,Romance,Series,Tablet,49.052335430402934,Evening,0,5.546337299403302
9571,27,Drama,Movie,Mobile,24.932929846337878,Afternoon,0,7.99
9684,21,Sci-Fi,Series,Mobile,70.18895143565393,Evening,0,8.8
8208,41,Drama,Movie,Tablet,74.41408323100273,Night,0,8.4
6276,24,Comedy,Series,Tablet,23.148622549335915,Afternoon,0,5.69
3062,48,Sci-Fi,Movie,Laptop,78.70252019913404,Evening,0,11.42
1064,50,Thriller,Series,Mobile,73.14930736183992,Evening,0,12.35
9006,39,Sci-Fi,Movie,Smart TV,1.5972106470394891,Afternoon,0,4.72
3568,20,Sci-Fi,Movie,Mobile,50.59637757959,Morning,0,9.08
6463,38,Thriller,Movie,Tablet,44.059722782595685,Evening,0,7.17
3027,32,Thriller,Movie,Tablet,43.979699327235906,Morning,0,8.37
3695,37,Romance,Series,Tablet,29.20655560882261,Morning,0,6.0
6258,20,Comedy,Series,Tablet,-1.7469801927596116,Morning,0,1.68
6618,43,Thriller,Movie,Smart TV,7.990590113782904,Morning,0,5.33
7736,39,Action,Series,Mobile,33.443670141982864,Morning,0,4.54
1391,31,Action,Movie,Smart TV,28.185829391708275,Night,0,8.5
6892,60,Comedy,Series,Smart TV,77.61024372852498,Morning,0,8.068088829217109
4561,38,Drama,Movie,Tablet,51.526944864431236,Night,0,7.27
7184,25,Drama,Series,Smart TV,1.2043226334849977,Evening,1,1.54
4099,40,Action,Series,Tablet,10.7998376102636,Night,0,3.46
7278,48,Thriller,Movie,Tablet,114.62987612208286,Night,0,3.64
9392,42,Comedy,Movie,Tablet,45.697367987331575,Morning,0,7.08
4104,17,Drama,Movie,Smart TV,33.566048111627325,Evening,0,10.062620938207406
8215,25,Drama,Movie,Tablet,67.38918309356185,Evening,0,8.7
3454,52,Sci-Fi,Movie,Smart TV,79.9559607975085,Evening,0,9.91890419056176
9996,28,Action,Series,Mobile,5.411961456292387,Afternoon,0,2.49
3731,40,Thriller,Movie,Tablet,23.606739143357245,Night,1,6.16
9154,62,Comedy,Series,Laptop,54.3410700318334,Morning,0,6.517287795165949
6056,35,Drama,Movie,Laptop,37.04726274418781,Afternoon,0,4.49
9110,53,Sci-Fi,Series,Laptop,236.35544862571518,Morning,0,8.35477640681745
4840,44,Action,Series,Laptop,43.624273987769605,Afternoon,0,9.27
2028,22,Action,Movie,Laptop,94.983265278749,Evening,0,10.33
8385,34,Comedy,Movie,Smart TV,-5.089131174329344,Afternoon,0,2.75
1502,62,Drama,Series,Mobile,316.516350282778,Evening,0,9.832007793510112
7910,46,Comedy,Series,Smart TV,45.733006670653985,Afternoon,0,5.12
7938,36,Comedy,Movie,Tablet,10.031732421256011,Morning,0,3.52
5488,21,Romance,Series,Mobile,-17.22411242903763,Morning,0,0.9
1206,23,Sci-Fi,Series,Mobile,-1.6518642985574967,Afternoon,0,3.06
6134,59,Action,Series,Mobile,90.94631255192037,Night,0,9.940145913348575
6977,15,Romance,Series,Mobile,74.91399840456604,Night,0,9.468635171898999
8721,43,Thriller,Series,Laptop,28.88424509338477,Afternoon,0,7.88
8035,22,Action,Series,Tablet,56.16012461671015,Night,0,3.65
2484,18,Action,Movie,Mobile,8.768274055122443,Morning,0,5.694056912870153
8858,49,Sci-Fi,Movie,Mobile,48.1949151128571,Night,0,6.4
1863,17,Thriller,Movie,Laptop,23.106858991453954,Afternoon,0,6.254102506752162
3790,59,Drama,Movie,Smart TV,97.65826834573822,Night,0,9.29508717337044
8408,54,Thriller,Series,Smart TV,-1.1218096336817567,Afternoon,1,3.1501172586056434
9755,21,Drama,Movie,Smart TV,44.40695818726341,Morning,0,10.58
6116,41,Thriller,Series,Tablet,102.9220254467141,Evening,0,14.16
7019,15,Comedy,Series,Smart TV,72.252905451344,Morning,0,10.838230724610844
2757,41,Thriller,Movie,Mobile,22.746494442190645,Morning,1,5.58
8574,30,Romance,Movie,Laptop,-1.6438193029586303,Afternoon,0,4.61
7374,52,Romance,Series,Laptop,75.40351794126492,Morning,0,5.392873387488372
7892,21,Sci-Fi,Movie,Smart TV,52.18346667437036,Morning,0,6.59
2678,58,Drama,Movie,Laptop,322.67973475859725,Night,0,6.982727035571806
4242,37,Action,Series,Mobile,47.91570754892771,Afternoon,0,8.61
5636,55,Sci-Fi,Series,Smart TV,24.359156848774692,Night,0,6.095686969304364
2059,25,Romance,Series,Mobile,33.59679700515977,Afternoon,0,5.83
7668,56,Romance,Series,Tablet,4.95772237586417,Night,0,2.1706126440306983
4157,47,Drama,Series,Mobile,50.776831350346356,Night,0,5.42
